# 超!企業DB 株価更新シート
# price 列を最新の終値(円)に書き換えて、以下を実行:
#   npm run prices:apply -- --date YYYY-MM-DD
code,name,price
8035,東京エレクトロン,63400
6857,アドバンテスト,25175
6920,レーザーテック,40200
6146,ディスコ,70030
7735,SCREEN ホールディングス,12990
6963,ローム,4714
6526,ソシオネクスト,2294
4063,信越化学工業,6858
6890,フェローテックホールディングス,7940
6754,アンリツ,3879
6723,ルネサスエレクトロニクス,4262
3436,SUMCO,3408
7741,HOYA,25650
6525,KOKUSAI ELECTRIC,8042
4062,イビデン,18210
7729,東京精密,17480
4186,東京応化工業,9501
4004,レゾナック・ホールディングス,16375
4502,武田薬品工業,5033
4568,第一三共,2495
4503,アステラス製薬,2107
4523,エーザイ,3723
4519,中外製薬,7428
4507,塩野義製薬,2769.5
4543,テルモ,2264
4901,富士フイルムホールディングス,3485
4443,Sansan,1534
3994,マネーフォワード,3968
4478,freee,1981
3923,ラクス,929
4475,HENNGE,1090
4448,kubell,275
7203,トヨタ自動車,2747.5
7267,本田技研工業,1427.5
7201,日産自動車,328.8
7269,スズキ,1786.5
7270,SUBARU,2480
7261,マツダ,1096.5
6902,デンソー,1834.5
7259,アイシン,2287
8058,三菱商事,4605
8031,三井物産,4857
8001,伊藤忠商事,1826
8053,住友商事,6186
8002,丸紅,4812
8306,三菱 UFJ フィナンシャル・グループ,3141
8316,三井住友フィナンシャルグループ,6203
8411,みずほフィナンシャルグループ,7394
8604,野村ホールディングス,1352.5
8766,東京海上ホールディングス,7404
8725,MS&AD インシュアランスグループホールディングス,4552
8801,三井不動産,1538
8802,三菱地所,4130
8830,住友不動産,3468
1925,大和ハウス工業,4283
1928,積水ハウス,3257
9432,日本電信電話,150.7
9433,KDDI,2757.5
9984,ソフトバンクグループ,6374
4755,楽天グループ,740
4188,三菱ケミカルグループ,1036
4005,住友化学,542.5
3402,東レ,1118.5
8267,イオン,1373
3382,セブン&アイ・ホールディングス,1942
9983,ファーストリテイリング,78480
3563,FOOD&LIFE COMPANIES,9781
8227,しまむら,3352
