id,name,name_en,description,one_liner,edinet_code,created_at,updated_at
1,極洋,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
2,ニッスイ,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
3,Ｕｍｉｏｓ,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
4,ユキグニファクトリー,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
5,カネコ種苗,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
6,サカタのタネ,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
7,ホクト,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
8,秋川牧園,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
9,アクシーズ,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
10,ホーブ,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
11,ベルグアース,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
12,ホクリヨウ,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
13,エムビーエス,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
14,ウエストホールディングス,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
15,ショーボンドホールディングス,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
16,ミライト・ワン,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
17,インターライフホールディングス,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
18,タマホーム,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
19,サンヨーホームズ,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
20,日本アクア,,,,,2026-06-14T03:21:09.272Z,2026-06-14T03:21:09.272Z
