code,price_jpy,price_date,change_1d_pct,change_1m_pct,change_1y_pct,market_cap_oku,market_cap_tier,per,per_forecast,pbr,psr,ev_ebitda,peg,roe,dividend_yield,dividend_annual,dividend_payout_ratio,total_return_yield,ma_25,ma_75,ma_200,high_52w,low_52w,rsi_14,avg_volume_3m,credit_buy,credit_sell,credit_ratio,price_history_json,foreign_ownership,individual_ownership,stable_ownership,latest_revenue_oku,latest_op_profit_oku,latest_op_margin,target_consensus,target_high,target_low,analyst_buy,analyst_hold,analyst_sell,valuation_verdict,valuation_score,updated_at
1301,4385,2026-06-26,0.5733945,-1.0158013544018059,-3.943044906900329,521,,7.610337,,0.6734495,,,,,3.4403669999999997,,,,4320.4,,,5450,4165,64.17910447761194,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.903Z
1332,1287,2026-06-26,1.2190326,-2.904564315352697,44.040290990486845,3903,,14.265129,,1.3005202,,,,,2.5167126,,,,1282.5,,,1570,859,56.16438356164384,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.907Z
1333,1299.5,2026-06-26,1.2071651,2.565114443567482,25.11232839297209,1965,,8.85761,,0.79462093,,,,,3.478972,,,,1267.26,,,1589,1005,63.78737541528239,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.908Z
1375,1115,2026-06-26,0.9963769,6.190476190476191,1.6408386508659982,445,,15.0370865,,3.0107875,,,,,2.0833334,,,,1075.44,,,1149,1000,73.7864077669903,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.909Z
1376,1453,2026-06-26,0.41465098,4.157706093189964,6.446886446886448,159,,12.5,,0.6235605,,,,,2.626123,,,,1421.84,,,1859,1350,61.53846153846154,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.910Z
1377,4185,2026-06-26,0.72202164,1.331719128329298,20.086083213773314,1769,,15.649539,,1.0218801,,,,,1.9253911,,,,4173.8,,,4630,3310,51.16279069767442,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.911Z
1379,1837,2026-06-26,-0.86346465,0.9340659340659341,2.855543113101904,576,,9.578684,,0.8869336,,,,,2.9681597,,,,1847.48,,,2123,1779,44.1860465116279,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.913Z
1380,999,2026-06-26,0,-0.5970149253731344,1.627670396744659,42,,192.48555,,1.9140425,,,,,0,,,,1000.4,,,1245,979,47.540983606557376,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.914Z
1381,3535,2026-06-26,-3.547067,-7.339449541284404,21.89655172413793,199,,8.873215,,0.8526134,,,,,3.069577,,,,3753.6,,,4600,2854,23.376623376623385,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.916Z
1382,1450,2026-06-26,-0.75290895,-5.414220482713633,-18.6307519640853,11,,,,1.5211375,,,,,3.4223136000000003,,,,1487.56,,,3645,1410,36.8421052631579,,,,,,,,,,,,,,,,,,,,2026-06-28T11:20:38.917Z
