code,date,open,high,low,close,volume,adj_close
8035,2026-05-15,52150,52530,49480,50290,2986000,50290
8035,2026-05-18,50600,50900,48810,49260,2434000,49260
8035,2026-05-19,49960,49980,47160,47160,2645700,47160
8035,2026-05-20,46700,47220,45030,46100,3042100,46100
8035,2026-05-21,47650,48800,47450,48800,2745800,48800
8035,2026-05-22,49050,50220,48730,49830,2776900,49830
8035,2026-05-25,50530,52530,50030,52180,2671900,52180
8035,2026-05-26,53180,53190,50640,51420,2439400,51420
8035,2026-05-27,52870,54700,52500,52500,3857400,52500
8035,2026-05-28,52000,52730,51150,52320,3146300,52320
8035,2026-05-29,52780,53320,52030,52420,3555800,52420
8035,2026-06-01,53360,54740,52960,53060,3167500,53060
8035,2026-06-02,53060,53750,52180,53710,2681900,53710
8035,2026-06-03,56710,61420,56390,60900,5433400,60900
8035,2026-06-04,59900,63660,59900,63660,4805100,63660
8035,2026-06-05,62000,62210,58750,59450,4460100,59450
8035,2026-06-08,55650,56450,54650,55020,3961100,55020
8035,2026-06-09,57200,60860,56770,59920,5902600,59920
8035,2026-06-10,61110,65310,60810,61830,7924500,61830
8035,2026-06-11,61000,64070,60210,63400,5585800,63400
8035,2026-06-12,68400,71000,68000,68000,7102200,68000
6857,2026-05-15,29015,29020,26140,26360,9938400,26360
6857,2026-05-18,26485,26580,25475,26150,8750700,26150
6857,2026-05-19,26150,26420,24860,25290,9174200,25290
6857,2026-05-20,25790,26145,25020,25625,8881700,25625
6857,2026-05-21,26625,27020,25995,26745,9851300,26745
6857,2026-05-22,26975,27120,26460,26845,7253600,26845
6857,2026-05-25,27245,28515,27150,27755,7936500,27755
6857,2026-05-26,28085,28090,25925,26075,9168700,26075
6857,2026-05-27,27200,27780,27015,27130,9423800,27130
6857,2026-05-28,26760,27195,25915,26340,7244100,26340
6857,2026-05-29,26380,26605,25670,26170,9408700,26170
6857,2026-06-01,25800,26170,25410,25675,7366500,25675
6857,2026-06-02,25810,26350,25275,26320,8218300,26320
6857,2026-06-03,27320,27970,26620,27660,8806800,27660
6857,2026-06-04,27380,28435,27160,28170,7606900,28170
6857,2026-06-05,27560,27590,26415,26765,7157600,26765
6857,2026-06-08,25100,25780,24860,25235,10067400,25235
6857,2026-06-09,25735,26595,25325,26330,8788900,26330
6857,2026-06-10,25490,26035,24910,25235,8322300,25235
6857,2026-06-11,24450,25475,24150,25175,7237400,25175
6857,2026-06-12,27205,27800,26940,27325,10241000,27325
6920,2026-05-15,41190,41190,38030,38410,3328000,38410
6920,2026-05-18,38800,39340,38080,38190,3128200,38190
6920,2026-05-19,38090,38180,35550,36060,2762200,36060
6920,2026-05-20,36200,36280,34620,35650,3099400,35650
6920,2026-05-21,37050,38840,36720,38060,3426700,38060
6920,2026-05-22,38590,38980,37870,38130,2685100,38130
6920,2026-05-25,40300,43590,40290,43020,4173500,43020
6920,2026-05-26,42600,42870,41110,41680,3372300,41680
6920,2026-05-27,42990,44040,41530,41530,3055900,41530
6920,2026-05-28,40830,41290,38860,40110,2900200,40110
6920,2026-05-29,40810,40820,38930,40130,2244300,40130
