code,company_id,exchange,sector_tse,price_jpy,price_date,change_pct,market_cap_oku,per,pbr,dividend_yield,updated_at
1301,1,Prime,水産・農林業,4255,2026-06-12,-0.58411217,505,7.3854856,0.65348405,3.504673,2026-06-14T03:21:09.272Z
1332,2,Prime,水産・農林業,1280.5,2026-06-12,0.5496663,3883,14.204104,1.2939519,2.51276,2026-06-14T03:21:09.272Z
1333,3,Prime,水産・農林業,1292.5,2026-06-12,0.8583691,1954,8.912563,0.79034054,0,2026-06-14T03:21:09.272Z
1375,4,Prime,水産・農林業,1082,2026-06-12,0.27803522,432,14.576316,2.921679,2.1316033,2026-06-14T03:21:09.272Z
1376,5,Standard,水産・農林業,1419,2026-06-12,-0.14074595,156,12.209602,0.6089692,2.6741732000000003,2026-06-14T03:21:09.272Z
1377,6,Prime,水産・農林業,4185,2026-06-12,-0.5938242,1769,15.649539,1.0218801,1.9002376,2026-06-14T03:21:09.272Z
1379,7,Prime,水産・農林業,1898,2026-06-12,1.0111761,595,9.891084,0.9159485,0,2026-06-14T03:21:09.272Z
1380,8,Standard,水産・農林業,993,2026-06-12,-0.3012048,41,188.78326,1.9025466,0,2026-06-14T03:21:09.272Z
1381,9,Standard,水産・農林業,3705,2026-06-12,-1.2,208,9.302267,0.893616,3,2026-06-14T03:21:09.272Z
1382,10,Standard,水産・農林業,1475,2026-06-12,0,11,,1.547364,3.3898304999999995,2026-06-14T03:21:09.272Z
1383,11,Standard,水産・農林業,2847,2026-06-12,-0.41972715,46,94.33399,2.4325745,0.34977264999999996,2026-06-14T03:21:09.272Z
1384,12,Standard,水産・農林業,2054,2026-06-12,1.3320178,174,4.498467,1.7548417,0.4933399,2026-06-14T03:21:09.272Z
1401,13,Growth,建設業,1283,2026-06-12,-0.4654771,89,17.5441,2.3854544,0,2026-06-14T03:21:09.272Z
1407,14,Standard,建設業,2313,2026-06-12,0.3470716,917,17.762249,2.6689436,4.338394999999999,2026-06-14T03:21:09.272Z
1414,15,Prime,建設業,1269.5,2026-06-12,0.91414946,2551,17.605047,2.4577801,8.734102,2026-06-14T03:21:09.272Z
1417,16,Prime,建設業,3777,2026-06-12,-1.0738606,3335,14.429799,1.1984389,2.2262964,2026-06-14T03:21:09.272Z
1418,17,Standard,建設業,507,2026-06-12,0.99601597,77,9.46072,1.6542786,5.9760958,2026-06-14T03:21:09.272Z
1419,18,Prime,建設業,2966,2026-06-12,-0.26899797,860,35.461502,3.3260705,6.556826,2026-06-14T03:21:09.272Z
1420,19,Standard,建設業,624,2026-06-12,0.6451613,77,5.1413035,0.44572383,4.032258,2026-06-14T03:21:09.272Z
1429,20,Prime,建設業,709,2026-06-12,-0.28129396,228,11.934018,2.1031961,4.922644,2026-06-14T03:21:09.272Z
1430,21,Standard,建設業,906,2026-06-12,0,109,8.590935,1.0588157,4.6357617,2026-06-14T03:21:09.272Z
1431,22,Growth,建設業,642,2026-06-12,0,149,65.77869,3.4368494,0,2026-06-14T03:21:09.272Z
1433,23,Prime,建設業,1120,2026-06-12,1.6333938,99,13.774444,1.8518794,0,2026-06-14T03:21:09.272Z
1434,24,Standard,建設業,1846,2026-06-12,3.4173672,128,8.389384,1.5856601,1.6806724,2026-06-14T03:21:09.272Z
1435,25,Standard,不動産業,156,2026-06-12,-1.8867924,139,7.0460706,1.2823569,1.2578616,2026-06-14T03:21:09.272Z
1436,26,Growth,建設業,1193,2026-06-12,-4.636291,148,30.771215,2.666184,0,2026-06-14T03:21:09.272Z
1438,27,Standard,建設業,1831,2026-06-12,0.38377193,59,11.905071,1.3209144,0.9868421,2026-06-14T03:21:09.272Z
1443,28,Standard,建設業,227,2026-06-12,1.793722,37,6.005291,0.2851834,0.49327356,2026-06-14T03:21:09.272Z
1444,29,Growth,建設業,2836,2026-06-12,-0.66549915,31,,1.90799,0,2026-06-14T03:21:09.272Z
1446,30,Standard,建設業,526,2026-06-12,0.57361376,49,19.04417,1.5563512,1.5296367,2026-06-14T03:21:09.272Z
1447,31,Growth,建設業,293,2026-06-12,2.0905924,71,15.527291,6.5630317,0,2026-06-14T03:21:09.272Z
1450,32,Standard,建設業,1310,2026-06-12,-2.238806,114,7.5871654,1.2220229,0,2026-06-14T03:21:09.272Z
1491,33,Standard,非鉄金属,650,2026-06-12,1.7214397,93,6.18047,0.99732256,0,2026-06-14T03:21:09.272Z
1514,34,Standard,鉱業,553,2026-06-12,0.9124087,331,12.5311575,1.1348735,0,2026-06-14T03:21:09.272Z
1515,35,Prime,鉱業,2330,2026-06-12,7.077206,1833,13.054685,1.1654301,3.2812502,2026-06-14T03:21:09.272Z
1518,36,Prime,その他製品,1487,2026-06-12,1.779603,551,10.0303545,1.0232639,4.3805614,2026-06-14T03:21:09.272Z
1605,37,Prime,鉱業,3559,2026-06-12,-1.3307458,41362,10.764298,0.845866,2.7723871,2026-06-14T03:21:09.272Z
1662,38,Prime,鉱業,1658,2026-06-12,-0.5995204,4244,7.9428954,0.67637193,3.8968824,2026-06-14T03:21:09.272Z
1663,39,Prime,鉱業,3945,2026-06-12,0.2541296,1053,12.61028,0.98084354,1.3722999,2026-06-14T03:21:09.272Z
1711,40,Standard,建設業,221,2026-06-12,0.45454544,23,,3.953842,0,2026-06-14T03:21:09.272Z
1716,41,Standard,建設業,1382,2026-06-12,0.43604654,155,9.099289,0.77422273,2.9069768,2026-06-14T03:21:09.272Z
1717,42,Standard,サービス業,896,2026-06-12,-0.3337041,105,11.2860565,1.7296529,0,2026-06-14T03:21:09.272Z
1718,43,Standard,建設業,6800,2026-06-12,0,73,4.7281327,0.4172448,4.411765,2026-06-14T03:21:09.272Z
1719,44,Prime,建設業,1743,2026-06-12,-0.17182131,2734,9.191099,1.3128974,0,2026-06-14T03:21:09.272Z
1720,45,Prime,建設業,1142,2026-06-12,1.7825311,1214,9.049846,1.0890036,3.5650622,2026-06-14T03:21:09.272Z
1721,46,Prime,建設業,5307,2026-06-12,-0.9703303,6131,17.123222,1.5315125,2.4258258,2026-06-14T03:21:09.272Z
1723,47,Standard,建設業,2208,2026-06-12,1.0989012,1407,16.666668,3.003289,0,2026-06-14T03:21:09.272Z
1724,48,Standard,建設業,686,2026-06-12,0.1459854,31,13.174573,1.2467695,1.1678832,2026-06-14T03:21:09.272Z
1726,49,Prime,建設業,,,,,,,,2026-06-14T03:21:09.272Z
1736,50,Standard,建設業,2324,2026-06-12,2.8773794,360,9.930351,1.357732,0,2026-06-14T03:21:09.272Z
1758,51,Standard,建設業,2595,2026-06-12,3.7170265,52,11.173305,0.53569394,0,2026-06-14T03:21:09.272Z
1762,52,Prime,建設業,3450,2026-06-12,1.4705882,1201,10.515087,0.8179137,3.8235296,2026-06-14T03:21:09.272Z
1764,53,Standard,建設業,2929,2026-06-12,0.23956195,37,7.4404306,0.6313889,4.0041067,2026-06-14T03:21:09.272Z
1766,54,Prime,建設業,12210,2026-06-12,-0.16353229,1355,9.861965,1.161718,2.6982829,2026-06-14T03:21:09.272Z
1768,55,Standard,建設業,1015,2026-06-12,2.8368793,74,5.422878,0.7131816,5.065856,2026-06-14T03:21:09.272Z
1770,56,Standard,建設業,1775,2026-06-12,1.3127854,163,8.8572855,0.78938955,3.4246575000000004,2026-06-14T03:21:09.272Z
1780,57,Prime,建設業,1397,2026-06-12,0.64841497,264,8.354264,1.91786,0.18011527,2026-06-14T03:21:09.272Z
1783,58,Standard,不動産業,53,2026-06-12,0,102,,1.3598111,0,2026-06-14T03:21:09.272Z
1786,59,Prime,建設業,329,2026-06-12,1.2307693,423,12.562046,0.7966372,0,2026-06-14T03:21:09.272Z
1787,60,Standard,建設業,5190,2026-06-12,0,127,12.195123,1.3590137,0,2026-06-14T03:21:09.272Z
1788,61,Standard,建設業,4525,2026-06-12,-0.6586169,28,8.718353,0.74875736,1.5367728,2026-06-14T03:21:09.272Z
1793,62,Standard,建設業,1842,2026-06-12,-0.21668473,468,25.838125,1.3110684,0.5191224,2026-06-14T03:21:09.272Z
1795,63,Standard,建設業,4795,2026-06-11,0,42,10.15223,0.78139424,0,2026-06-14T03:21:09.272Z
1798,64,Standard,建設業,1017,2026-06-12,0.79286426,111,4.038759,0.591408,2.9732407999999997,2026-06-14T03:21:09.272Z
1799,65,Standard,建設業,3125,2026-06-12,0.64412236,553,10.660799,1.9315591,0.4830918,2026-06-14T03:21:09.272Z
1801,66,Prime,建設業,13375,2026-06-12,1.1724659,21802,13.037842,2.2996616,2.3449318,2026-06-14T03:21:09.272Z
1802,67,Prime,建設業,3085,2026-06-12,0.81699353,21207,12.376138,1.6851984,2.875817,2026-06-14T03:21:09.272Z
1803,68,Prime,建設業,2461,2026-06-12,2.349761,16715,13.175224,1.7091608,2.9943855,2026-06-14T03:21:09.272Z
1807,69,Standard,建設業,1808,2026-06-11,0,113,12.771067,0.49476597,4.4247787,2026-06-14T03:21:09.272Z
1808,70,Prime,建設業,2691,2026-06-12,-1.4646649,7122,13.157638,1.2655299,3.4785792000000004,2026-06-14T03:21:09.272Z
1810,71,Standard,建設業,1339,2026-06-12,1.1329305,382,8.818493,0.6696845,5.6646526,2026-06-14T03:21:09.272Z
1811,72,Standard,建設業,7490,2026-06-12,1.7663043,536,12.610276,0.4654499,1.6304348,2026-06-14T03:21:09.272Z
1812,73,Prime,建設業,5521,2026-06-12,1.3027523,25674,14.535068,1.8179843,2.6788991,2026-06-14T03:21:09.272Z
1813,74,Prime,建設業,2665,2026-06-12,1.4851485,404,9.04156,1.0602994,4.379284,2026-06-14T03:21:09.272Z
1814,75,Prime,建設業,3175,2026-06-12,1.1146497,327,8.688157,1.2966615,5.8280256,2026-06-14T03:21:09.272Z
1815,76,Prime,建設業,4325,2026-06-12,0.9334889,603,17.825495,0.76831806,0,2026-06-14T03:21:09.272Z
1820,77,Prime,建設業,5366,2026-06-12,1.976435,2119,8.802782,1.0871048,4.3709617,2026-06-14T03:21:09.272Z
1822,78,Standard,建設業,741,2026-06-12,1.0914052,625,14.368819,0.8668512,4.638472200000001,2026-06-14T03:21:09.272Z
1826,79,Standard,建設業,984,2026-06-12,0.203666,119,13.754542,1.044341,6.109979699999999,2026-06-14T03:21:09.272Z
