company_id,source_id
2874,1
2253,2
2285,3
1858,4
2702,5
2306,6
2085,7
1006,8
2270,9
2201,10
2183,11
682,12
2704,2
2084,4
1005,5
2697,9
1058,13
966,14
1250,15
1283,16
1251,17
1258,18
1256,19
1253,20
1269,21
1438,22
1213,23
962,24
1231,25
911,5
1228,26
1218,27
2437,28
2473,29
2435,30
2474,18
2475,20
2469,17
2275,15
2468,16
2888,31
2872,32
2853,33
2885,34
2854,15
2996,35
2999,31
3034,33
3066,29
3096,28
3088,21
3105,32
3106,28
3110,15
114,31
116,33
3348,36
3349,32
3563,35
1382,37
1060,15
967,16
665,21
2983,38
653,39
3562,40
742,41
2971,42
